actorId,movieId,name
"nm0001191","tt0120484","Adam Sandler"
"nm0001191","tt0185431","Adam Sandler"
"nm0000870","tt0100157","Kathy Bates"
"nm0001191","tt0120888","Adam Sandler"
"nm0000870","tt0109642","Kathy Bates"
"nm0000099","tt0108399","Patricia Arquette"
"nm0001191","tt0142342","Adam Sandler"
"nm0001001","tt0083190","James Caan"
"nm0000106","tt0160127","Drew Barrymore"
"nm0000870","tt0120338","Kathy Bates"
"nm0000099","tt1065073","Patricia Arquette"
"nm1659547","tt1334260","Carey Mulligan"
"nm0001001","tt0073631","James Caan"
"nm0000225","tt0124198","Christian Slater"
"nm0000492","tt3460252","Jennifer Jason Leigh"
"nm0000106","tt0151738","Drew Barrymore"
"nm0000870","tt0257360","Kathy Bates"
"nm0000099","tt0412175","Patricia Arquette"
"nm0000725","tt0118842","Joey Lauren Adams"
"nm0001839","tt0087843","Tuesday Weld"
"nm1659547","tt1723811","Carey Mulligan"
"nm0001001","tt0068646","James Caan"
"nm0000139","tt0259711","Cameron Diaz"
"nm0000138","tt1375666","Leonardo DiCaprio"
"nm0000225","tt0108399","Christian Slater"
"nm0000492","tt0105414","Jennifer Jason Leigh"
"nm0000106","tt0343660","Drew Barrymore"
"nm0000099","tt0145531","Patricia Arquette"
"nm0461136","tt0325980","Keira Knightley"
"nm0000725","tt0106677","Joey Lauren Adams"
"nm1294664","tt1065073","Ellar Coltrane"
"nm0001857","tt0120484","Henry Winkler"
"nm0001839","tt0083190","Tuesday Weld"
"nm0000168","tt0110912","Samuel L. Jackson"
"nm1659547","tt0780504","Carey Mulligan"
"nm0001001","tt0100157","James Caan"
"nm0000139","tt0129387","Cameron Diaz"
"nm0000197","tt0071315","Jack Nicholson"
