movieId,movieTitle,movieRating,movieSynopsis
"tt11097384","El astronauta","5.7/10","Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship."
"tt0120484","The Waterboy","6.1/10","A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team."
"tt0185431","Little Nicky","5.3/10","After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late."
"tt0100157","Miseria","7.8/10","After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
"tt0120888","La mejor de mis bodas","6.9/10","Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other."
"tt0109642","Eclipse total","7.4/10","A big city reporter travels to a small town where her mother has been arrested for the murder of an elderly woman for whom she worked as a housekeeper."
"tt0108399","La Fuga","7.9/10","In Detroit, a pop-culture nerd steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple."
"tt0142342","Un papá genial","6.4/10","A lazy law school graduate adopts a kid to impress his girlfriend, but everything doesn't go as planned."
"tt0083190","Mi profesión: ladrón","7.4/10","An ace safe cracker wants to do one last big heist for the mob before going straight."
"tt0160127","Los Ángeles de Charlie","5.6/10","Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
"tt0120338","Titanic","7.9/10","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
"tt1065073","Boyhood. Momentos de una vida","7.9/10","The life of Mason, from early childhood to his arrival at college."
"tt1334260","Nunca me abandones","7.1/10","The lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking."
"tt0073631","Rollerball: los gladiadores del futuro","6.5/10","In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game."
"tt0124198","Malos pensamientos","6.3/10","A prostitute is killed during a bachelor party and the attendees turn on each other as the wedding approaches."
"tt3460252","Los 8 más odiados","7.8/10","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
"tt0151738","Jamás besada","6.0/10","A newspaper reporter enrolls in high school as part of research for a story."
"tt0257360","Las confesiones del Sr. Schmidt","7.2/10","A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected."
"tt0118842","Mi pareja equivocada","7.2/10","Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian."
"tt0412175","Medium","7.1/10","Suburban mom Allison DuBois attempts to balance family life with solving mysteries using her special gift. The dead send her visions of their deaths or other crimes while she sleeps."
"tt0087843","Érase una vez en América","8.3/10","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
"tt1723811","Deseos culpables","7.2/10","A sex addict's carefully cultivated private life falls apart after his sister arrives for an indefinite stay."
"tt0068646","El padrino","9.2/10","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
"tt1375666","El origen","8.8/10","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
"tt0259711","Vanilla Sky","6.9/10","A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover."
"tt0105414","Mujer soltera busca","6.4/10","A woman advertising for a new roommate finds that something very strange is going on with the tenant who decides to move in."
"tt0343660","Como Si Fuera La Primera Vez","6.8/10","Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day."
"tt0145531","Estigma","6.2/10","When a young woman becomes afflicted by stigmata, a priest is sent to investigate her case, which may have severe ramifications for his faith and for the Catholic Church itself."
"tt0106677","Rebeldes y confundidos","7.6/10","The adventures of high school and junior high students on the last day of school in May 1976."
"tt0325980","Piratas del Caribe: La maldición del Perla Negra","8.1/10","Blacksmith Will Turner teams up with eccentric pirate "Captain" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead."
